,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
1539,Mi Lindo Ecuador,$$ • Latina,,,"Nicasio Safadi, Guayaquil 090514, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/mi-lindo-ecuador/UvFTgYPBTCaHhGXRAZBUXQ
1540,Ojos Moros,$ • Latina,,,"Sauces 1, Agustin Freire, Guayaquil, Guayas  Ecuador, Guayas 170301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/ojos-moros/yK8UPb0GSgad0pG0O5KSyg
1541,Picantería Delicias del Norte,$$ • Latina,4.4,(199),"Villa 19, Gabriel Roldós Garcés, Norte Manzana 500, Guayaquil 090502, Ecuador, Mz 500 Local 19, Guayas 090502 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/picanteria-delicias-del-norte/19l7vxxDS-mCCYYNP1slsg
1542,Carmita Rincon Tipico,$$ • Latina,4.5,(83),"Av. Francisco De Orellana, Guayaquil, Ecuador, Mz 2208 S 26 Esq,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/carmita-rincon-tipico/uTDyUDbHQnSF1CmIXl_6Vw
1543,Juan  Tonga,$ • Latina,4.5,(174),"Urdesa Norte Av. Segunda #137 Y Calle 3ra,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/juan-tonga/HmmM7ZIJTw-LzacjMDs4DA
1544,La Herencia Manabita,$ • Latina,4.6,(33),"Av Las Monjas 217, Guayaquil 090507, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/la-herencia-manabita/jUrD_ixUQWCHzSriITi8Jw
1545,Mi Tierra,$$ • Latina,4.5,(20),"Samborondon 092301, Local 10, Guayas 092301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/mi-tierra/MGEfomU9TwiFhHC5IVm_cg
1546,Picanteria El Pez Volador 2,$$ • Latina,,,"9no Callejon 19b Ne, Guayaquil 090506, Ecuador, Mz 319 Villa 11, Guayas 090506 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/picanteria-el-pez-volador-2/HTjMl6XXQR-oLGxV-vtODQ
1547,La Parrilla (Juan Montalvo),$$ • Latina,,,"Guayaquil, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/la-parrilla-juan-montalvo/PwGhfqyiRsGGmr1Ax_re_Q
1548,Comidas de Victor (Malecón),$$ • Latina,,,"Avenida 12 Ne, Guayaquil 090313, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/comidas-de-victor-malecon/UnXm80JVTAeWlNiY24LJBg
1549,PATA.COM,$$ • Latina,,,"Plaza Gastronómica Guayarte, Guayaquil, Guayas 170301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/patacom/S-zYTicDT8StQi3pzyXE_g
1550,Mr Morocho (Entre Rios),$$ • Latina,,,"Av Principal De Entre Rios Local 19, Samborondón 092301, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/mr-morocho-entre-rios/0n2U2s0GR_WihGWfwUMxkQ
1551,Mr Morocho (9 octubre),$$ • Latina,,,"Blvd. 9 De Octubre 813, Guayaquil 090312, Ecuador, Guayas 090312 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/mr-morocho-9-octubre/ouq3oWePSNm5iW5hthPNDw
1552,Empanadas del Cordobés,$ • Latina,,,"Av Miraflores, Guayaquil, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/empanadas-del-cordobes/1v1E83JWRO26-6_ATm2aGA
1553,Punto Naranja,$ • Latina,4.6,(181),"Miguel Hurtado Antonio 603, Guayaquil 090311, Ecuador, Guayas 090311 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/punto-naranja/CMqMTZ2pTim5FGlohZhbpw
1554,Encebollado Cuarto De Libra (miraflores),$ • Latina,4.6,(95),"Av. Miraflores 201 Y Calle 2da Esquina, Guayaquil, Provincia De Guayas 90502 Ecuador, Provincia de Guayas 170301 • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/encebollado-cuarto-de-libra-miraflores/R-iawRW2QjOabe1sydqYOw
1555,Café SalPrieta,$ • Latina,4.5,(341),"Av. Guano Mz 17-17, Villa 29, Cooperativa, Guayaquil, Ecuador, MZ. 1717 VILLA 29, Guayas • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/cafe-salprieta/642UZCFzQWuoCSGEdkCVYg
1556,Juan Tonga (Entre Rios),$ • Latina,4.3,(70),"Entre Ríos, Samborondón. Calle 1ra Y, Av. Río Guayas, Samborondón 092301, Ecuador,  • Más información",https://www.ubereats.com/ec/guayaquil/food-delivery/juan-tonga-entre-rios/jJJL_Y7hTKqsW2cFlHA2HA
