,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
1012,Pizzas y Sandwichería Click,$$ • Burgers,,,"Lautaro 856, La Serena, Coquimbo, Chile,  • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/pizzas-y-sandwicheria-click/GriigSJ1Rm2AG_vfchMZHQ
1013,Gamer´s Land and Beer,$$ • Burgers,,,"559 Mons Subercaseaux, La Serena, Región de Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/gamer-s-land-and-beer/cCpkcGLgR1KnuTbJHi-vtQ
1014,Gamer´s Land and Beer,$$ • Burgers,,,"559 Mons Subercaseaux, La Serena, Región de Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/gamer-s-land-and-beer/cCpkcGLgR1KnuTbJHi-vtQ
1015,Gamer´s Land and Beer,$$ • Burgers,,,"559 Mons Subercaseaux, La Serena, Región de Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/gamer-s-land-and-beer/cCpkcGLgR1KnuTbJHi-vtQ
1016,D ‘Willy,$$ • Sandwiches,,,"Calle Oscar Saint-Marie 1566, La Serena, Región de Coquimbo 1720636 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/d-%E2%80%98willy/ffQusMWdRAK8_c4zVmm4Vg
1017,"Pedro, Juan & Diego - Mall Plaza La Serena",$ • Hamburguesas,4.3,(193),"Av. Libertad 820, La Serena, Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/pedro-juan-%26-diego-mall-plaza-la-serena/mJEEa4uIS9GsmcF4rO9rfQ
1018,Cafeteria 65 Grados,$$ • Café y té,,,"Av. Juan Cisternas 2283, La Serena, Región De Coquimbo, Chile, Local 1,  • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/cafeteria-65-grados/MeCq-acgSBq_avGylzphyw
1019,Cafe del Museo La Serena,$$ • Café y té,4.4,(19),"Gregorio Cordovez 712, Región De Coquimbo, La Serena 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/cafe-del-museo-la-serena/dTF7ZHpTTKyR15rjWPiJpA
1020,Café Bahamas,$$ • Café y té,,,"Brasil 408, La Serena, Región De Coquimbo, Chile,  • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/cafe-bahamas/knHcW8cvRPqBDK8W3YacMw
1021,Dulce Monchita,$$ • Desayuno y brunch,,,"Río Zancarrón 2144, La Serena, Región De Coquimbo, Chile,  • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dulce-monchita/MbjhJtGyRXGUXGYMQ5IEkA
1022,Real Restaurant,$$ • Latina,4.5,(23),"Juan De Dios Peni 281, La Serena, Region de Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/real-restaurant/H8OyfoCeRyGXbEkA9Nwb5A
1023,Dulcería Emporio La Trinidad,$$ • Latina,,,"Alberto Arenas 3377, La Serena, La Serena, Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dulceria-emporio-la-trinidad/RKEte_P_TfGt51TEtQ0O1w
1024,Dulcería Emporio La Trinidad,$$ • Latina,,,"Alberto Arenas 3377, La Serena, La Serena, Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dulceria-emporio-la-trinidad/RKEte_P_TfGt51TEtQ0O1w
1025,Dulcería Emporio La Trinidad,$$ • Latina,,,"Alberto Arenas 3377, La Serena, La Serena, Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dulceria-emporio-la-trinidad/RKEte_P_TfGt51TEtQ0O1w
1026,Dulcería Emporio La Trinidad,$$ • Latina,,,"Alberto Arenas 3377, La Serena, La Serena, Coquimbo 1700000 • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/dulceria-emporio-la-trinidad/RKEte_P_TfGt51TEtQ0O1w
