,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
2035,Sandwich Qbano (San Diego),$ • Sandwiches,,,"4366 Calle 34, Medellín, 050016 Colombia, Medellin, Medellin 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/sandwich-qbano-san-diego/ceXnKioaThG3UHZE5bOXzw
2036,Sandwich Qbano (Monterrey),$ • Sandwiches,4.7,(47),"Cra 48 No. 10-45 Lc 013, Medellin, Medellin 050021 Colombia, Medellin 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/sandwich-qbano-monterrey/oVKvHYlLTciXHoVVdqpMNg
2037,Subway (Megacentro),$ • Sandwiches • Saludable,,,"Cra. 53 #47-22, Medellín, Antioquia, Colombia, 0311,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/subway-megacentro/nY0aQrsVTiO1hLx2FiB6Aw
2038,Subway (Vizcaya),$ • Sandwiches • Saludable,4.5,(104),"Calle 10 #32 ? 115 Piso 1 Local 149 Cc Vizcaya - Medellin, 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/subway-vizcaya/SRzEQXTuTdSoE7DpfjifUQ
2039,Subway (Viva Laureles),$ • Sandwiches • Saludable,4.2,(48),"Cr.81 No.37-100 Int 134 Centro Comercial Viva Laureles - Medellin, Lo. 134,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/subway-viva-laureles/47cVomJaQiKs24F6woVeiQ
2040,Subway (Los Molinos),$ • Sandwiches • Saludable,4.6,(52),"Calle 30a ##82a-26, Medellín, Antioquia, Colombia, Lo. 3124,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/subway-los-molinos/JGG-hCmjQM6wav7ERO84PA
2041,Jack & Roll (Laureles),$ • Burgers,4.9,(114),"Trv 39b # 77-39, Medellin, Antioquia 050024 Colombia, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/jack-%26-roll-laureles/FCrq7w7yR3GXWSCarJjzFw
2042,Pepper Jack,$ • Burgers,5,(13),"Cq. 76 # 38 - 9, Medellín, Comuna Once 050031 Colombia, Medellin, Comuna Once 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/pepper-jack/PsG1GeImQx2UVR_dFOri6Q
2043,Papasotas,$ • Americana,4.3,(17),"Cr 44 # 18.ª 80 Local 1, 2, 3 Mall Torres Del Rio, Ciudad Del Rio, Medellín, Sucre 050013 Colombia,  • Más información",https://www.ubereats.com/co/medellin/food-delivery/papasotas/j_2GKH9lTtqVAeu_riXY2g
2044,La Bombonera Con Papitas,$ • Americana,,,"Calle 9 # 42 - 22, Medellin, Antioquia 0 Colombia, Antioquia 110221 • Más información",https://www.ubereats.com/co/medellin/food-delivery/la-bombonera-con-papitas/YnWxO1OrSm6Mnv2AItsjnw
