,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
783,Terranova,$ • Americana,,,"Cra. 7 # 44 - 49, Local 1, Bucaramanga, Santander 680006 Colombia, Santander 110221 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/terranova/3b0E_VaRQ_maK3A7jol_xg
784,Papos Hot Dogs,$$ • Americana,,,"Cl. 41, Bucaramanga, Santander 680002 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/papos-hot-dogs/uUuMJVTXS6itkErirE04rQ
785,King Pizza,$$ • Pizza,,,"Calle 107 A # 15-09, Bucaramanga, santander 110221 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/king-pizza/pyxA4yO3S62kZW_N0PnDrQ
786,Punto Cordero Real de Minas,$$ • Sandwiches,,,"Carrera 17 # 57 -32, Bucaramanga, Santander 680005076 Colombia, santander 110221 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/punto-cordero-real-de-minas/pYMoN-hrRs-xMKNOrWGwiw
787,Monkey Burger,$$ • Burgers,,,"Cl. 37 #4a-10, Bucaramanga, Santander, Colombia, Calle 37 # 4 - 84, Bucaramanga, Santander 680006 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/monkey-burger/GikbIibVRm6Gka1m3K3WBA
788,Dino's Food,$ • Burgers,,,"Cra. 26 #20-23, Bucaramanga, Santander, Colombia,  • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/dinos-food/2P7B9F63QC6jNLPoQF1N9A
789,El Pollo Arabe,$ • Comida reconfortante,,,"Cl. 54 #31-07, Bucaramanga, Santander 680003 Colombia, Santander 110221 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/el-pollo-arabe/tec70VCLRW-HpkXjh2FQcA
790,El Pollo Arabe,$ • Comida reconfortante,,,"Cl. 54 #31-07, Bucaramanga, Santander 680003 Colombia, Santander 110221 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/el-pollo-arabe/tec70VCLRW-HpkXjh2FQcA
791,El Pollo Arabe,$ • Comida reconfortante,,,"Cl. 54 #31-07, Bucaramanga, Santander 680003 Colombia, Santander 110221 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/el-pollo-arabe/tec70VCLRW-HpkXjh2FQcA
792,El Pollo Arabe,$ • Comida reconfortante,,,"Cl. 54 #31-07, Bucaramanga, Santander 680003 Colombia, Santander 110221 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/el-pollo-arabe/tec70VCLRW-HpkXjh2FQcA
793,El Pollo Arabe,$ • Comida reconfortante,,,"Cl. 54 #31-07, Bucaramanga, Santander 680003 Colombia, Santander 110221 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/el-pollo-arabe/tec70VCLRW-HpkXjh2FQcA
794,Severo Burrito,$ • Mexicana,4.7,(17),"Calle20#30-67, Bucaramanga, 110221 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/severo-burrito/4IiLS1EVTpeGoah98qKd6w
795,El Sazon De Yeshua,$ • Mexicana,,,"Cl. 45 # 0-120, Bucaramanga, Santander, Colombia, Carrera 0 A #45-93, Bucaramanga, Santander  Colombia, 110221,  • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/el-sazon-de-yeshua/KRgTjHSxSum2eCZJhhVJqA
796,Pescalif,Caribeña,,,"Cl. 34, Bucaramanga, Santander 680002 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/pescalif/-DULtUPYR3Gfw9KDU3yYcg
797,Pescalif,Caribeña,,,"Cl. 34, Bucaramanga, Santander 680002 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/pescalif/-DULtUPYR3Gfw9KDU3yYcg
798,Pescalif,Caribeña,,,"Cl. 34, Bucaramanga, Santander 680002 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/pescalif/-DULtUPYR3Gfw9KDU3yYcg
799,Pescalif,Caribeña,,,"Cl. 34, Bucaramanga, Santander 680002 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/pescalif/-DULtUPYR3Gfw9KDU3yYcg
800,Pescalif,Caribeña,,,"Cl. 34, Bucaramanga, Santander 680002 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/pescalif/-DULtUPYR3Gfw9KDU3yYcg
801,KFC (Caracoli),Pollo,,,"Tv. El Bosque #29-145, Floridablanca, Santander, Colombia,  • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/kfc-caracoli/hBeNq5pHQ4yXzhao9ycPlw
802,KFC (Caracoli),Pollo,,,"Tv. El Bosque #29-145, Floridablanca, Santander, Colombia,  • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/kfc-caracoli/hBeNq5pHQ4yXzhao9ycPlw
803,KFC (Caracoli),Pollo,,,"Tv. El Bosque #29-145, Floridablanca, Santander, Colombia,  • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/kfc-caracoli/hBeNq5pHQ4yXzhao9ycPlw
804,El Propio (Cabecera),$$ • Latina fusión,4.7,(24),"Cl. 54 #36-7, Bucaramanga, Santander, Colombia, Calle 54 # 36-07,  • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/el-propio-cabecera/NSaQk7eBScaZnqRHGxO6PQ
805,Sandwich Qbano (Megamall),$$ • Sándwich,,,"Cra. 33a #29-15, Local 51 , Bucaramanga, Santander 680002 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/sandwich-qbano-megamall/ZYuNglRvRmenoelrMJtSPA
806,Sandwich Qbano (Cabecera),$$ • Sándwich,4.7,(24),"Cra. 33, Bucaramanga, Santander 680003 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/sandwich-qbano-cabecera/NyrYNz2WQ12Jn93sGlmYrA
807,Sandwich Qbano (Cabecera),$$ • Sándwich,4.7,(24),"Cra. 33, Bucaramanga, Santander 680003 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/sandwich-qbano-cabecera/NyrYNz2WQ12Jn93sGlmYrA
808,Sandwich Qbano (Cabecera),$$ • Sándwich,4.7,(24),"Cra. 33, Bucaramanga, Santander 680003 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/sandwich-qbano-cabecera/NyrYNz2WQ12Jn93sGlmYrA
809,Sandwich Qbano (Cabecera),$$ • Sándwich,4.7,(24),"Cra. 33, Bucaramanga, Santander 680003 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/sandwich-qbano-cabecera/NyrYNz2WQ12Jn93sGlmYrA
810,Sandwich Qbano (Cabecera),$$ • Sándwich,4.7,(24),"Cra. 33, Bucaramanga, Santander 680003 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/sandwich-qbano-cabecera/NyrYNz2WQ12Jn93sGlmYrA
811,Sandwich Qbano (Cabecera),$$ • Sándwich,4.7,(24),"Cra. 33, Bucaramanga, Santander 680003 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/sandwich-qbano-cabecera/NyrYNz2WQ12Jn93sGlmYrA
812,Zirus (Calle 56),$$ • Pizza,4.8,(50+),"Cl. 56, Bucaramanga, Santander 680003 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/zirus-calle-56/_PXCl1qOSjCMw6sV5gv4Ug
813,Mosto Bistro,$$ • Pizza,,,"Cra. 29 #No 41 25, Bucaramanga, Santander, Colombia, Santander 680001 • Más información",https://www.ubereats.com/co/bucaramanga/food-delivery/mosto-bistro/8BK_kF00QdmITXq3ICKk5A
